"word","polarity"
"abidance","positive"
"abidance","positive"
"abilities","positive"
"ability","positive"
"able","positive"
"above","positive"
"above-average","positive"
"abundant","positive"
"abundance","positive"
"acceptance","positive"
"acceptable","positive"
"accessible","positive"
"acclaim","positive"
"acclaimed","positive"
"accolade","positive"
"accolades","positive"
"accommodative","positive"
"accomplishment","positive"
"accomplishments","positive"
"accordance","positive"
"accordantly","positive"
"accurate","positive"
"accurately","positive"
"achievable","positive"
"achievement","positive"
"achievements","positive"
"acknowledgement","positive"
"active","positive"
"acumen","positive"
"adaptable","positive"
"adaptability","positive"
"adaptive","positive"
"adept","positive"
"adeptly","positive"
"adequate","positive"
"adherence","positive"
"adherent","positive"
"adhesion","positive"
"admirable","positive"
"admirer","positive"
"admirable","positive"
"admirably","positive"
"admiration","positive"
"admiring","positive"
"admiringly","positive"
"admission","positive"
"admission","positive"
"adorable","positive"
"adored","positive"
"adorer","positive"
"adoring","positive"
"adoringly","positive"
"adroit","positive"
"adroitly","positive"
"adulatory","positive"
"advanced","positive"
"advantage","positive"
"advantage","positive"
"advantageous","positive"
"advantages","positive"
"advantages","positive"
"adventure","positive"
"adventure","positive"
"adventuresome","positive"
"adventurism","positive"
"adventurous","positive"
"advice","positive"
"advice","positive"
"advisable","positive"
"advocacy","positive"
"affable","positive"
"affability","positive"
"affably","positive"
"affection","positive"
"affection","positive"
"affectionate","positive"
"affinity","positive"
"affirmation","positive"
"affirmation","positive"
"affirmative","positive"
"affluent","positive"
"affluence","positive"
"affordable","positive"
"afloat","positive"
"agile","positive"
"agilely","positive"
"agility","positive"
"agreeable","positive"
"agreement","positive"
"agreement","positive"
"allowable","positive"
"allure","positive"
"alluring","positive"
"alluringly","positive"
"almighty","positive"
"altruist","positive"
"altruistic","positive"
"altruistically","positive"
"amazed","positive"
"amazement","positive"
"amazing","positive"
"amazingly","positive"
"ambitious","positive"
"ambitious","positive"
"amenable","positive"
"amenity","positive"
"amiability","positive"
"amiabily","positive"
"amiable","positive"
"amicability","positive"
"amicable","positive"
"amicably","positive"
"amity","positive"
"amity","positive"
"amnesty","positive"
"amour","positive"
"ample","positive"
"amply","positive"
"amusement","positive"
"amusement","positive"
"amusing","positive"
"angel","positive"
"angelic","positive"
"animated","positive"
"apostle","positive"
"apostle","positive"
"apotheosis","positive"
"apotheosis","positive"
"appeal","positive"
"appeal","positive"
"appealing","positive"
"appreciable","positive"
"appreciation","positive"
"appreciation","positive"
"appreciative","positive"
"appropriate","positive"
"approval","positive"
"apt","positive"
"aptly","positive"
"aptitude","positive"
"ardent","positive"
"ardently","positive"
"ardor","positive"
"aristocratic","positive"
"arresting","positive"
"articulate","positive"
"ascendant","positive"
"ascendant","positive"
